catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
998,-98.08738,37.39766,0.0527581490905263,1.9549042654667,0.432841367844299,0.42995012931270055,0.04990487197412121,6.501179383425818,20.713414634146343,2.983194640176441,6.082891830078741,3.631578947368421
999,-96.37992,37.67957,0.0536532639942105,1.36250937634339,0.447686429792759,0.2063413590668969,5.7482296932609e-4,16.35509406869063,29.649425287356323,3.1711067141156386,9.167070719273555,9.689265536723164
1000,-96.77742,38.13105,0.0706611347084211,1.46510200790316,0.51250160772987,0.3160971321988678,0.01776553421378112,7.506673466211069,30.92086330935252,2.4568433900521662,6.324153751649586,4.628415300546448
1001,-94.40074,36.28178,0.0345767487610526,1.15752944031156,0.0944610727877576,0.5085637715237157,0.1843219061495583,2.569816264977697,13.097560975609756,2.8741602171837917,5.488040533026564,6.48936170212766
1002,-94.42183,35.88244,0.028550216301052603,1.07318647197509,0.0474866828513273,0.36320128263055346,0.01412231423158838,8.122605510041621,23.649122807017545,3.272790282241123,6.479060106359803,6.183168316831683
1003,-94.59373,35.92054,0.02692679008,1.12347815929338,0.0526085320209575,0.4423006162414029,0.08614490671044794,3.4621897683353557,31.303571428571427,3.1516429284310212,5.74033810115729,6.230769230769231
1004,-105.12278,36.39679,0.45632304237368404,1.50882371081201,0.572377326876231,0.6194554768566167,0.17440408291512133,2.6032512669335386,15.43979057591623,3.7953220116244015,6.461153304449105,20.35555555555555
1005,-92.25418,35.41851,0.0251212090378947,0.969504883218747,-0.119539333021639,0.3752073986211419,9.359177948084104e-4,16.950138591011907,23.25153374233129,3.638803281743056,6.32812225200615,6.26
1006,-90.71334,31.65003,0.0067027873868421095,0.981071932871187,-0.0576176293981976,0.36341461330708136,0.1551060167818325,1.5109347800105573,14.789855072463768,2.9680928288277353,6.722614924026593,2.76027397260274
1007,-90.8272,31.50518,0.00508130670473684,0.972938839344081,-0.0534300791780655,0.4501065340081049,0.1890886854081872,1.8647570286810553,10.932659932659933,3.507259169956933,6.486210392180501,2.732142857142857
1008,-91.18492,31.17087,0.0054545588268421095,0.943316828805144,-0.0347895324109594,0.3224302198680041,0.09247451207338132,2.493336530756422,11.203333333333331,3.5822264361281175,7.372211054462424,3.0827586206896553
1009,-99.96767,34.36296,0.0125495026726316,3.18294819931167,0.268081327460286,0.41895261897354735,0.1738568225066113,2.730800762381154,13.80281690140845,1.5663174702039029,4.395474664228114,2.76271186440678
1010,-100.36455,35.51673,0.046212032039473695,3.28522110338825,0.41183769871579,0.61287470019890955,0.01852844714830029,10.541163387279177,25.54,2.6047095964795024,3.5485710172939893,4.273972602739726
1011,-94.17029,34.42473,0.0168097178415789,0.952110142380672,-0.1349338797563,0.31526135141740447,0.05804415492025936,3.323346333332524,16.90573770491803,3.902778416543152,7.547145612125359,4.241007194244604
1012,-93.70034,34.44378,0.019207734253684203,0.945664257761865,-0.101691085223697,0.4124599821073544,0.11128177400973902,3.0864751840057583,15.804761904761904,3.2290639934594574,5.903508861403594,3.191666666666667
1013,-92.98727,33.38465,0.01280008988,0.970313600700817,-0.135628476427976,0.3199425039884536,0.00223124097757418,11.98727928496556,23.015544041450777,4.542602686660808,8.444167910720731,7.759090909090909
